,Minimum,Maximum,Mean,Median,Standard Deviation
CPU Utilization [%],0.0,51.949223081991946,2.328368874720016,1.1652283033419808,4.867490906626964
RAM [%],23.230170766643752,48.37785173402583,24.56546432474065,24.100369337038224,3.0928929828816663
Total Power [W],31.169936,76.6528,32.622611554096494,31.73849,4.310419750753402
