,Zeit,\\DJ-TESLA\Arbeitsspeicher\Zugesicherte verwendete Bytes (%),\\DJ-TESLA\Auslagerungsdatei(\??\C:\pagefile.sys)\Belegung (%),\\DJ-TESLA\Auslagerungsdatei(_Total)\Belegung (%),\\DJ-TESLA\Netzwerkadapter(Microsoft Kernel Debug Network Adapter)\Bytes gesendet/s,\\DJ-TESLA\Netzwerkadapter(Intel[R] Ethernet Connection I217-LM)\Bytes gesendet/s,\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IP])\Bytes gesendet/s,\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IPv6])\Bytes gesendet/s,\\DJ-TESLA\Netzwerkadapter(WAN Miniport [Network Monitor])\Bytes gesendet/s,\\DJ-TESLA\Netzwerkadapter(Teredo Tunneling Pseudo-Interface)\Bytes gesendet/s,\\DJ-TESLA\Netzwerkadapter(Microsoft IP-HTTPS Platform Interface)\Bytes gesendet/s,\\DJ-TESLA\Netzwerkadapter(6to4 Adapter)\Bytes gesendet/s,\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 1)\Bytes gesendet/s,\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 2)\Bytes gesendet/s,\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 3)\Bytes gesendet/s,\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 4)\Bytes gesendet/s,\\DJ-TESLA\Netzwerkadapter(Microsoft Kernel Debug Network Adapter)\Empfangene Bytes/s,\\DJ-TESLA\Netzwerkadapter(Intel[R] Ethernet Connection I217-LM)\Empfangene Bytes/s,\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IP])\Empfangene Bytes/s,\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IPv6])\Empfangene Bytes/s,\\DJ-TESLA\Netzwerkadapter(WAN Miniport [Network Monitor])\Empfangene Bytes/s,\\DJ-TESLA\Netzwerkadapter(Teredo Tunneling Pseudo-Interface)\Empfangene Bytes/s,\\DJ-TESLA\Netzwerkadapter(Microsoft IP-HTTPS Platform Interface)\Empfangene Bytes/s,\\DJ-TESLA\Netzwerkadapter(6to4 Adapter)\Empfangene Bytes/s,\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 1)\Empfangene Bytes/s,\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 2)\Empfangene Bytes/s,\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 3)\Empfangene Bytes/s,\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 4)\Empfangene Bytes/s,\\DJ-TESLA\Netzwerkschnittstelle(Intel[R] Ethernet Connection I217-LM)\Bytes gesendet/s,\\DJ-TESLA\Netzwerkschnittstelle(Intel[R] Ethernet Connection I217-LM)\Empfangene Bytes/s,\\DJ-TESLA\Physikalischer Datentr�ger(0 C:)\Bytes gelesen/s,\\DJ-TESLA\Physikalischer Datentr�ger(_Total)\Bytes gelesen/s,\\DJ-TESLA\Physikalischer Datentr�ger(0 C:)\Bytes geschrieben/s,\\DJ-TESLA\Physikalischer Datentraeger(_Total)\Bytes geschrieben/s,\\DJ-TESLA\Prozessor(0)\Prozessorzeit (%),\\DJ-TESLA\Prozessor(1)\Prozessorzeit (%),\\DJ-TESLA\Prozessor(2)\Prozessorzeit (%),\\DJ-TESLA\Prozessor(3)\Prozessorzeit (%),\\DJ-TESLA\Prozessor(_Total)\Prozessorzeit (%),\\DJ-TESLA\GPU Process Memory(pid_1060_luid_0x00000000_0x00008CDA_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_1060_luid_0x00000000_0x00008FF9_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_1112_luid_0x00000000_0x00008CDA_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_3612_luid_0x00000000_0x00008CDA_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_4272_luid_0x00000000_0x00008CDA_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_4272_luid_0x00000000_0x00008FF9_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_4_luid_0x00000000_0x00008CDA_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_4_luid_0x00000000_0x00008FF9_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_4_luid_0x00000000_0x0000903A_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_5580_luid_0x00000000_0x00008CDA_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_5580_luid_0x00000000_0x00008FF9_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_5748_luid_0x00000000_0x00008CDA_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_6440_luid_0x00000000_0x00008CDA_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_6440_luid_0x00000000_0x00008FF9_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_860_luid_0x00000000_0x00008CDA_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_8828_luid_0x00000000_0x00008FF9_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_8832_luid_0x00000000_0x00008CDA_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_9204_luid_0x00000000_0x00008CDA_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_9204_luid_0x00000000_0x00008FF9_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_9212_luid_0x00000000_0x00008FF9_phys_0)\Total Committed,Wert 1-avg[W],startstop
228,17:54:29,23.96465067844015,0,0,0,0,0,0,0,0,0,0, , , , ,0,132.01450839447255703,0,0,0,0,0,0, , , , ,0,132.01450839447255703,0,0,12289.350599630899524,12289.350599630899524,0,0,1.5556187377497643354,4.6808371905196155538,1.5556187377497643354,64962560,2277376,2306048,4718592,21499904,155648,163840,8192,2555904,19812352,53248,4096,4132864,36864,26185728, ,2338816,13746176,32768,1880064,31.781092,runtime
229,17:54:30,23.96323476544657,0,0,0,0,0,0,0,0,0,0, , , , ,0,196.00166601416111689,0,0,0,0,0,0, , , , ,0,196.00166601416111689,0,0,12288.104448887816034,12288.104448887816034,1.5555399766763455816,0,1.5555399766763455816,3.1181504532370452054,1.5555399766763455816,64962560,2277376,2306048,4718592,21499904,155648,163840,8192,2555904,19812352,53248,4096,4132864,36864,26185728, ,2338816,13746176,32768,1880064,31.653286,runtime
230,17:54:31,23.97381240128861,0,0,0,0,0,0,0,0,0,0, , , , ,0,132.01214511735079782,0,0,0,0,0,0, , , , ,0,132.01214511735079782,0,0,8192.7537333434665925,8192.7537333434665925,1.5559140906526658377,0,0,0,0.38395568663543988563,64962560,2277376,2306048,4718592,21499904,155648,163840,8192,2555904,19812352,53248,4096,4132864,36864,26185728, ,2338816,13746176,32768,1880064,31.69638,runtime
231,17:54:32,23.972729668946172,0,0,0,0,0,0,0,0,0,0, , , , ,0,132.00332648382737943,0,0,0,0,0,0, , , , ,0,132.00332648382737943,0,0,8192.2064436023774761,8192.2064436023774761,1.5669787024690351451,0.0045497929844207085637,0.0045497929844207085637,3.1294076119536606839,1.1763764748703886553,64962560,2277376,2306048,4718592,21499904,155648,163840,8192,2555904,19812352,53248,4096,4132864,36864,26185728, ,2338816,13746176,32768,1880064,31.73849,runtime
232,17:54:33,23.97177185024409,0,0,0,0,0,0,0,0,0,0, , , , ,0,131.99464101757470758,0,0,0,0,0,0, , , , ,0,131.99464101757470758,0,0,8191.6674183028171683,8191.6674183028171683,0,0,0,1.5558057947940406862,0.38384610153490150708,64962560,2277376,2306048,4718592,21499904,155648,163840,8192,2555904,19812352,53248,4096,4132864,36864,26185728, ,2338816,13746176,32768,1880064,31.73849,runtime
233,17:54:34,23.97156360651636,0,0,0,0,0,0,0,0,0,0, , , , ,0,132.00913503214422917,0,0,0,0,0,0, , , , ,0,132.00913503214422917,0,0,65540.535405050031841,65540.535405050031841,0,0,3.1183054749083116697,3.1183054749083116697,1.5556974986971616737,64962560,2277376,2306048,4718592,21499904,155648,163840,8192,2555904,19812352,53248,4096,4132864,36864,26185728, ,2338816,13746176,32768,1880064,31.73849,runtime
234,17:54:35,23.97118881902918,0,0,0,0,0,0,0,0,0,0, , , , ,0,132.00124081166364931,0,0,0,0,0,0, , , , ,0,132.00124081166364931,0,0,8192.0770055238517671,8192.0770055238517671,0.0063096018641184414832,0.0063096018641184414832,0.0063096018641184414832,1.5687110143350002645,0.39691495466636084188,64962560,2277376,2306048,4718592,21499904,155648,163840,8192,2555904,19812352,53248,4096,4132864,36864,26185728, ,2338816,13746176,32768,1880064,31.732404,runtime
235,17:54:36,23.896645573875087,0,0,0,0,0,0,0,0,0,0, , , , ,0,132.00398652039291392,0,0,0,0,0,0, , , , ,0,132.00398652039291392,59905.809155436494621,59905.809155436494621,8192.2474058716579748,8192.2474058716579748,1.5556088926224842517,1.5556088926224842517,1.5556088926224842517,4.6808276579360601488,2.3369135839508725638,64962560,2277376,2306048,4718592,21499904,155648,163840,8192,2555904,19812352,53248,4096,4132864,36864,26185728, ,2338816,13746176,32768,1880064,32.479902,runtime
236,17:54:37,23.906931729034277,0,0,0,0,0,0,0,0,0,0, , , , ,0,132.00704917642602254,0,0,0,0,0,0, , , , ,0,132.00704917642602254,6144.3281071209203219,6144.3281071209203219,54274.89827956812951,54274.89827956812951,3.1185476952765078806,0,3.1185476952765078806,1.5559436258454795166,1.9465896428702111898,64962560,2277376,2306048,4718592,21499904,155648,163840,8192,2555904,19812352,53248,4096,4132864,36864,26185728, ,2338816,13746176,32768,1880064,32.394656,runtime
237,17:54:38,23.906848422229952,0,0,0,0,0,0,0,0,0,0, , , , ,0,132.01603994885377347,0,0,0,0,0,0, , , , ,0,132.01603994885377347,0,0,12289.493173420571111,12289.493173420571111,0,1.5556974986971616737,0,1.5556974986971616737,0.77439351059158667567,64962560,2277376,2306048,4718592,21499904,155648,163840,8192,2555904,19812352,53248,4096,4132864,36864,26185728, ,2338816,13746176,32768,1880064,31.695888,runtime
238,17:54:39,23.906848422229952,0,0,0,0,0,0,0,0,0,0, , , , ,0,132.00737921249796614,0,0,0,0,0,0, , , , ,0,132.00737921249796614,0,0,45058.518771199313051,45058.518771199313051,1.555599047493227971,1.555599047493227971,3.1182085864219111215,3.1182085864219111215,2.3369038169575695463,64962560,2277376,2306048,4718592,21499904,155648,163840,8192,2555904,19812352,53248,4096,4132864,36864,26185728, ,2338816,13746176,32768,1880064,31.73849,runtime
239,17:54:40,23.905932256930026,0,0,0,0,0,0,0,0,0,0, , , , ,0,132.00203283130559839,0,0,0,0,0,0, , , , ,0,132.00203283130559839,0,0,8192.1261587428452913,8192.1261587428452913,3.1184701848904650134,1.555864865291922694,0,0,1.1652185357293065593,64962560,2277376,2306048,4718592,21499904,155648,163840,8192,2555904,19812352,53248,4096,4132864,36864,26185728, ,2338816,13746176,32768,1880064,31.73849,runtime
