,Zeit,RAM,Auslagerungsdatei,NetzwerkGesendet,NetzwerkEmpfangen,FestplatteGeschrieben,FestplatteGelesen,CPU,Wert 1-avg[W],startstop
216,17:54:17,24.40408096285632,0,0.0,1468.1420632349475,1779913.3696715073,1779913.3696715073,14.051318076481756,31.391724,runtime
217,17:54:18,31.92611805441,0,0.0,132.75842231500113,0.0,0.0,30.854612797360456,31.95864,runtime
218,17:54:19,42.59521231115684,0,0.0,1880.107918194504,0.0,0.0,26.9481478636843,51.939216,runtime
219,17:54:20,45.166287628274006,0,0.0,1732.139263996825,0.0,0.0,25.385434287682997,55.984026,runtime
220,17:54:21,23.9747285898716,0,0.0,515.9041965906931,0.0,0.0,23.827581558587216,55.47696,runtime
221,17:54:22,23.964900529003913,0,0.0,1732.21392842016,0.0,0.0,0.7744332035610868,47.29774,runtime
222,17:54:23,23.964900529003913,0,0.0,195.99919640329475,0.0,0.0,0.7744530500339297,31.73849,runtime
223,17:54:24,23.96465067844015,0,220.9953369983893,2051.956703713552,0.0,0.0,0.7860618759990112,31.653286,runtime
224,17:54:25,23.96465067844015,0,220.98643143311,131.99189569760415,0.0,0.0,0.7877484024796377,32.04432,runtime
225,17:54:26,23.96465067844015,0,220.99502761187873,195.9955900992228,0.0,0.0,0.7854765386994477,31.695888,runtime
226,17:54:27,23.96465067844015,0,221.0088845571592,132.00530661332587,0.0,0.0,0.3839955357031188,31.87296,runtime
227,17:54:28,23.96465067844015,0,0.0,132.0101911867596,0.0,0.0,1.946550613546172,31.74444,runtime
228,17:54:29,23.96465067844015,0,0.0,132.01450839447256,0.0,0.0,1.5556187377497643,31.781092,runtime
229,17:54:30,23.96323476544657,0,0.0,196.00166601416112,0.0,0.0,1.5555399766763456,31.653286,runtime
230,17:54:31,23.97381240128861,0,0.0,132.0121451173508,0.0,0.0,0.3839556866354398,31.69638,runtime
231,17:54:32,23.972729668946172,0,0.0,132.00332648382735,0.0,0.0,1.1763764748703887,31.73849,runtime
232,17:54:33,23.97177185024409,0,0.0,131.9946410175747,0.0,0.0,0.3838461015349015,31.73849,runtime
233,17:54:34,23.97156360651636,0,0.0,132.00913503214423,0.0,0.0,1.5556974986971617,31.73849,runtime
234,17:54:35,23.97118881902918,0,0.0,132.00124081166365,0.0,0.0,0.3969149546663608,31.732404,runtime
235,17:54:36,23.896645573875087,0,0.0,132.0039865203929,59905.809155436495,59905.809155436495,2.3369135839508726,32.479902,runtime
236,17:54:37,23.906931729034277,0,0.0,132.00704917642602,6144.32810712092,6144.32810712092,1.9465896428702112,32.394656,runtime
237,17:54:38,23.906848422229952,0,0.0,132.01603994885377,0.0,0.0,0.7743935105915866,31.695888,runtime
238,17:54:39,23.906848422229952,0,0.0,132.00737921249797,0.0,0.0,2.336903816957569,31.73849,runtime
239,17:54:40,23.905932256930026,0,0.0,132.0020328313056,0.0,0.0,1.1652185357293063,31.73849,runtime
240,17:54:41,23.90580732000661,0,0.0,131.9965944878622,0.0,0.0,2.73905797740549,32.616948,runtime
241,17:54:42,23.90580732000661,0,0.0,132.0140198889122,0.0,0.0,1.1651789991361403,31.73849,runtime
242,17:54:43,23.894896526796487,0,0.0,132.00963670347934,0.0,0.0,2.7275609292650493,31.73849,runtime
243,17:54:44,23.894896526796487,0,0.0,1988.082704240496,0.0,0.0,1.555845175133841,32.00148,runtime
244,17:54:45,23.89389705469224,0,0.0,4133.4170617815325,0.0,0.0,0.3837863661233509,31.73849,runtime
245,17:54:46,23.89273101554549,0,0.0,132.00040920126852,0.0,0.0,1.1649713149977867,31.83012,runtime
246,17:54:47,23.87973801788868,0,0.0,2244.3379973023934,0.0,0.0,1.5557861046123331,31.610684,runtime
247,17:54:48,23.878322104895098,0,0.0,643.9958140272088,0.0,0.0,0.7745125894048188,31.610684,runtime
248,17:54:49,23.876198247046258,0,64.00825066351052,1546.199305090426,0.0,0.0,0.7743339710777785,31.653286,runtime
249,17:54:50,23.875948373199428,0,0.0,132.01370302237373,0.0,0.0,1.1651098100219914,31.695888,runtime
250,17:54:51,23.875365365267584,0,0.0,2436.0855066012814,0.0,0.0,1.5557762595185265,31.73849,runtime
251,17:54:52,23.87399110567616,0,0.0,1795.6920388153433,0.0,0.0,0.7976779045390069,31.9158,runtime
252,17:54:53,23.87340807446125,0,0.0,132.0079600799928,0.0,0.0,0.3838461015349015,31.610684,runtime
253,17:54:54,23.87340807446125,0,128.00881980768474,2652.1827353904687,0.0,0.0,1.555667963356655,31.781092,runtime
254,17:54:55,23.87240862564007,0,0.0,132.00088440592552,0.0,0.0,1.5557565693249953,32.351578,runtime
255,17:54:56,23.83197204299084,0,0.0,132.00732640661556,20481.13670308702,20481.13670308702,1.56732320116314,32.616948,runtime
256,17:54:57,23.831472318580253,0,0.0,131.98635261114,0.0,0.0,1.176386356782133,31.73849,runtime
257,17:54:58,23.8309725708866,0,0.0,132.0041449301508,0.0,0.0,1.5558254849678763,31.73849,runtime
258,17:54:59,23.8309725708866,0,0.0,131.99300437076835,0.0,0.0,0.4004604345090756,31.653286,runtime
259,17:55:00,23.830764350441928,0,0.0,132.0110097182105,0.0,0.0,1.164971431503059,31.73849,runtime
260,17:55:01,24.45692753523051,0,0.0,132.00435614375274,0.0,0.0,3.8998593406461506,31.568082,runtime
261,17:55:02,24.456594377862434,0,0.0,132.00380170948924,0.0,0.0,0.77434389433505,,runtime
262,17:55:03,24.455594905758183,0,0.0,132.01935403730187,0.0,0.0,0.7743736640949183,31.610684,runtime
263,17:55:04,24.455594905758183,0,0.0,132.00521420596112,0.0,0.0,1.165040504298842,31.610684,runtime
264,17:55:05,24.455594905758183,0,0.0,132.0074188169375,0.0,0.0,2.727882222532463,31.653286,runtime
265,17:55:06,24.455594905758183,0,0.0,132.01116814482506,0.0,0.0,2.7275122896164183,31.9158,runtime
266,17:55:07,23.852919094230263,0,0.0,132.0123695590277,0.0,0.0,2.727784943819189,31.83012,runtime
267,17:55:08,23.852919094230263,0,0.0,132.00538581974143,0.0,0.0,0.383726553877528,31.83012,runtime
268,17:55:09,23.852919094230263,0,0.0,132.00774885485777,0.0,0.0,0.0,31.87296,runtime
269,17:55:10,23.852919094230263,0,0.0,131.9984028193259,0.0,0.0,0.7861809268079333,31.83012,runtime
270,17:55:11,23.852919094230263,0,0.0,132.01379544162364,0.0,0.0,0.7745125894048188,32.3505,runtime
271,17:55:12,23.852919094230263,0,0.0,131.9951425787531,0.0,0.0,1.1650505049898952,31.653286,runtime
272,17:55:13,23.864163068091532,0,0.0,131.9986668134652,0.0,0.0,1.570000365972113,31.78728,runtime
273,17:55:14,23.85129498407508,0,0.0,1219.9521778746273,0.0,0.0,1.1650998093369447,31.610684,runtime
274,17:55:15,23.86195590343837,0,0.0,1189.059690796478,4096.205629522601,4096.205629522601,2.348866919373427,31.83012,runtime
275,17:55:16,23.872450255759166,0,0.0,132.00126721216523,0.0,0.0,1.1651295783501991,32.573632,runtime
276,17:55:17,23.7853304538376,0,0.0,2371.734365751036,30716.55974530853,30716.55974530853,1.176603640685614,31.9158,runtime
277,17:55:18,23.982974147420137,0,0.0,228.0853951719524,1966304.1842865967,1966304.1842865967,12.102462463795904,31.695888,runtime
278,17:55:19,24.040110088894167,0,2052.617392118109,4889.0886738711915,298952.2752958848,298952.2752958848,10.541556168436406,40.859364,runtime
279,17:55:20,24.07475810592872,0,37893.68912718849,37485.80011378903,2501975.212544666,2501975.212544666,10.147642144117407,34.00544,runtime
280,17:55:21,24.17095637046056,0,5530.935260437801,6832.861581014892,6487047.534320669,6487047.534320669,21.86796030322332,34.8194,runtime
281,17:55:22,23.993468499740928,0,11677.025415002325,3049.4843321994254,729476.6454992461,729476.6454992461,23.438755604408087,48.2664,runtime
282,17:55:23,23.98251605312864,0,3209.0279185428913,6535.056854994638,0.0,0.0,3.1183345414164454,54.02124,runtime
283,17:55:24,23.947493225323846,0,3151.2987431208476,6489.615215522431,49156.66005137287,49156.66005137287,1.1651394625113443,32.660264,runtime
284,17:55:25,23.947493225323846,0,192.0105029745127,1346.0736302275734,0.0,0.0,1.9463248803142097,32.573632,runtime
285,17:55:26,23.947493225323846,0,0.0,1476.0673086692752,87555.99255326041,87555.99255326041,1.5557664144227434,31.695888,runtime
286,17:55:27,23.947493225323846,0,0.0,1540.0526698013073,65538.24140785614,65538.24140785614,1.5611218557059825,31.695888,runtime
287,17:55:28,23.947493225323846,0,0.0,132.00105600844807,0.0,0.0,1.1652580722908423,32.00148,runtime
288,17:55:29,23.949283925804608,0,0.0,132.00091080628457,430082.96757247613,430082.96757247613,1.1741825241289303,32.00148,runtime
289,17:55:30,23.94728500487918,0,0.0,1540.1219776606304,0.0,0.0,1.555648273119814,32.70358,runtime
290,17:55:31,23.94728500487918,0,0.0,132.01544580715944,0.0,0.0,1.5559140906526658,31.73849,runtime
291,17:55:32,23.94728500487918,0,0.0,132.00862016289665,0.0,0.0,1.5558156398819523,31.695888,runtime
292,17:55:33,23.94728500487918,0,0.0,132.00241564420628,0.0,0.0,1.1649516631115795,32.573632,runtime
293,17:55:34,23.94728500487918,0,0.0,132.01903714515635,0.0,0.0,0.3838361392410782,32.394656,runtime
294,17:55:35,23.94728500487918,0,0.0,132.0056762440785,0.0,0.0,0.7744629732673757,31.610684,runtime
295,17:55:36,24.02391045447996,0,0.0,132.00976872288547,593963.9533325465,593963.9533325465,7.415639814123475,31.695888,runtime
296,17:55:37,24.02224469092261,0,0.0,132.0015048171549,0.0,0.0,0.3836468552798733,41.29419,runtime
297,17:55:38,24.03482124769008,0,0.0,131.99994720002113,0.0,0.0,5.07157044551778,31.73849,runtime
298,17:55:39,24.03482124769008,0,127.96859650641731,265.9347396148985,0.0,0.0,0.810481151204745,34.321266,runtime
299,17:55:40,24.03965199460267,0,0.0,131.9930571651931,0.0,0.0,0.3952117807369037,32.351578,runtime
300,17:55:41,24.03965199460267,0,0.0,132.01976335857475,0.0,0.0,0.7745225126263521,31.963876,runtime
301,17:55:42,24.03965199460267,0,0.0,132.0081449025405,0.0,0.0,0.7744232803216899,31.695888,runtime
302,17:55:43,24.03965199460267,0,0.0,132.0080260879861,0.0,0.0,0.3838262153305072,32.00148,runtime
303,17:55:44,24.050354567368128,0,0.0,1667.7776852345585,0.0,0.0,0.7862602938551566,32.616948,runtime
304,17:55:45,24.050354567368128,0,0.0,705.0468856178936,0.0,0.0,0.3952217407555802,31.781092,runtime
305,17:55:46,24.04877208733204,0,0.0,2015.8332905868683,0.0,0.0,1.5690555009036375,31.95864,runtime
306,17:55:47,24.04502409604495,0,0.0,131.99920800475195,0.0,0.0,0.0,31.781092,runtime
307,17:55:48,24.043441616008856,0,0.0,480.03072196620576,0.0,0.0,0.7745423590634681,31.781092,runtime
308,17:55:49,24.042941891598268,0,0.0,132.01266001409536,0.0,0.0,0.3837265922528421,31.653286,runtime
309,17:55:50,24.04244216718768,0,0.0,1668.1901736797995,32771.73597790148,32771.73597790148,1.165129461829295,31.73849,runtime
310,17:55:51,24.001589143649117,0,0.0,132.00168962162715,0.0,0.0,2.3370893894963607,32.660264,runtime
311,17:55:52,24.00071460846828,0,0.0,480.06336836462407,0.0,0.0,1.946364299136638,31.610684,runtime
312,17:55:53,23.997591278515195,0,0.0,1668.1177691144994,0.0,0.0,1.9461189528932388,31.73849,runtime
313,17:55:54,23.997591278515195,0,0.0,129.96901322109787,0.0,0.0,1.1472811731487396,31.73849,runtime
314,17:55:55,23.995050979777016,0,0.0,132.0170301968954,0.0,0.0,2.337011253776511,32.265422,runtime
315,17:55:56,23.995050979777016,0,127.99718406195063,195.99568809486192,0.0,0.0,3.5070610763174748,31.823694,runtime
316,17:55:57,23.99480112921325,0,0.0,132.01193387882265,0.0,0.0,2.7297012986324583,31.653286,runtime
317,17:55:58,23.99480112921325,0,0.0,132.00707557925105,0.0,0.0,2.727648480510003,31.653286,runtime
318,17:55:59,23.994218097998345,0,0.0,131.98437305023083,0.0,0.0,1.5693606155650963,32.3085,runtime
319,17:56:00,23.99338521621967,0,0.0,480.0841587530294,0.0,0.0,2.3369135839508726,32.530316,runtime
320,17:56:01,23.993176995775006,0,0.0,132.0063099016133,0.0,0.0,1.5556187377497643,31.73849,runtime
321,17:56:02,23.992843838406923,0,0.0,132.01285805237427,0.0,0.0,0.7745919751215302,31.73849,runtime
322,17:56:03,23.99251068103884,0,0.0,132.01370302237373,0.0,0.0,0.7690743654246379,31.73849,runtime
323,17:56:04,23.99251068103884,0,0.0,131.99383588786404,0.0,0.0,0.387571898457284,31.9158,runtime
324,17:56:05,23.99251068103884,0,0.0,132.02521681641196,0.0,0.0,0.7760605879687521,32.3085,runtime
325,17:56:06,24.60847101747256,0,0.0,132.00018480025872,0.0,0.0,3.118305474908312,31.610684,runtime
326,17:56:07,24.6084293640704,0,0.0,132.0131749148565,0.0,0.0,0.7744232803216899,31.610684,runtime
327,17:56:08,24.605555907964135,0,0.0,132.00554423285777,0.0,0.0,1.9464915828310003,31.695888,runtime
328,17:56:09,24.605306057400377,0,0.0,132.01920879487963,0.0,0.0,1.5543388546910508,31.87296,runtime
329,17:56:10,24.604473175621703,0,0.0,132.0067587460478,65539.35561500749,65539.35561500749,2.3326940609676994,32.487,runtime
330,17:56:11,24.604473175621703,0,0.0,132.00963670347934,0.0,0.0,1.5588084553170731,31.73849,runtime
331,17:56:12,23.998965538106617,0,0.0,132.01582869786083,0.0,0.0,1.5531967770954336,32.00148,runtime
332,17:56:13,23.998798971064108,0,0.0,132.00749802588783,0.0,0.0,1.949462909912836,31.653286,runtime
333,17:56:14,23.99409316107493,0,0.0,2052.128668467513,0.0,0.0,2.727444194026618,31.610684,runtime
334,17:56:15,23.992385744115428,0,1528.9605528177372,7079.81734071261,0.0,0.0,3.9023292150319744,32.573632,runtime
335,17:56:16,23.990470106711253,0,0.0,2527.640569511016,0.0,0.0,1.9550908981820323,31.87296,runtime
336,17:56:17,24.008127284238142,0,0.0,1412.4389860368603,0.0,0.0,10.15599843679562,32.351578,runtime
396,17:57:17,24.111571634214272,0,0.0,2244.1025554867856,0.0,0.0,1.9463837165613285,31.391724,runtime
397,17:57:18,31.87597837109956,0,0.0,2116.669714297604,0.0,0.0,31.63246007897944,53.605692,runtime
398,17:57:19,47.90473122799413,0,0.0,132.00707557925105,0.0,0.0,28.510258269370205,54.499144,runtime
399,17:57:20,45.333322776791945,0,0.0,1796.1875219772944,0.0,0.0,25.77581678978901,55.5016,runtime
400,17:57:21,24.965362373032924,0,0.0,580.0263912007997,0.0,0.0,27.33896890415389,56.531426,runtime
401,17:57:22,24.16354367140763,0,0.0,2115.298355535469,0.0,0.0,2.354256681981015,32.00148,runtime
402,17:57:23,24.161586403884364,0,0.0,451.9892426560248,0.0,0.0,0.785407091442869,31.781092,runtime
403,17:57:24,24.160503648258864,0,0.0,1924.2178214573887,0.0,0.0,1.1651592308276948,32.265422,runtime
404,17:57:25,24.15100876804232,0,0.0,132.00315487540152,0.0,0.0,0.7746018983271873,32.00148,runtime
