Zeit,"(PDH-CSV 4.0) (Mitteleuropäische Zeit)(-60)","RAM","\\DJ-TESLA\Auslagerungsdatei(\??\C:\pagefile.sys)\Belegung (%)","Auslagerungsdatei","\\DJ-TESLA\Netzwerkadapter(Microsoft Kernel Debug Network Adapter)\Bytes gesendet/s","NetzwerkGesendet","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IP])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IPv6])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [Network Monitor])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Teredo Tunneling Pseudo-Interface)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Microsoft IP-HTTPS Platform Interface)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(6to4 Adapter)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 1)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 2)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 3)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 4)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Microsoft Kernel Debug Network Adapter)\Empfangene Bytes/s","NetzwerkEmpfangen","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IP])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IPv6])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [Network Monitor])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(Teredo Tunneling Pseudo-Interface)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(Microsoft IP-HTTPS Platform Interface)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(6to4 Adapter)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 1)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 2)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 3)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 4)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkschnittstelle(Intel[R] Ethernet Connection I217-LM)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkschnittstelle(Intel[R] Ethernet Connection I217-LM)\Empfangene Bytes/s","FestplatteGeschrieben","FestplatteGelesen","\\DJ-TESLA\Physikalischer Datentr�ger(0 C:)\Bytes geschrieben/s","\\DJ-TESLA\Physikalischer Datentr�ger(_Total)\Bytes geschrieben/s","\\DJ-TESLA\Prozessor(0)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(1)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(2)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(3)\Prozessorzeit (%)","CPU","\\DJ-TESLA\GPU Process Memory(pid_1064_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_1064_luid_0x00000000_0x00008FE9_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_2916_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4872_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4872_luid_0x00000000_0x00008FE9_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4_luid_0x00000000_0x00008FE9_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4_luid_0x00000000_0x00009030_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_5128_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_5148_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_5796_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_7328_luid_0x00000000_0x00008FE9_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_8176_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_824_luid_0x00000000_0x00008CD0_phys_0)\Total Committed",,,,,,
02/28/2023 17:50:51.225,"17:50:51.225","24.361520522358247831","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","131.9904834861406755","0","0","0","0","0","0"," "," "," "," ","0","131.9904834861406755","0","0","163828.18798764611711","163828.18798764611711","0.0048397657553378437001","1.5672641444154145063","0.0048397657553378437001","0.0048397657553378437001","0.39544086066234385157","63320064","2277376","2306048","4718592","16801792","155648","163840","8192","2555904","19812352","53248","4096","4132864","36864",27942912," ",2338816,13746176,32768,1880064
02/28/2023 17:50:52.225,"17:50:52.225","24.359979672441252063","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","132.01380864438419849","0","0","0","0","0","0"," "," "," "," ","0","132.01380864438419849","0","0","75783.926998764072778","75783.926998764072778","0","1.5554809057885865542","0","0","0.38352734549973455103","63320064","2277376","2306048","4718592","16801792","155648","163840","8192","2555904","19812352","53248","4096","4132864","36864",27942912," ",2338816,13746176,32768,1880064
02/28/2023 17:50:53.225,"17:50:53.225","24.356981302694645564","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","2116.1703517133128116","0","0","0","0","0","0"," "," "," "," ","0","2116.1703517133128116","0","0","12288.989263635723546","12288.989263635723546","1.5559140906526658377","1.5559140906526658377","1.5559140906526658377","0","1.1652579557572373403","63320064","2277376","2306048","4718592","16801792","155648","163840","8192","2555904","19812352","53248","4096","4132864","36864",27942912," ",2338816,13746176,32768,1880064
02/28/2023 17:50:54.225,"17:50:54.225","24.347611336118450964","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","196.01217235590328869","0","0","0","0","0","0"," "," "," "," ","0","196.01217235590328869","0","0","465436.90363171551144","465436.90363171551144","3.1183539190788533979","0","0","0","0.77444312679849636183","63320064","2277376","2306048","4718592","16801792","155648","163840","8192","2555904","19812352","53248","4096","4132864","36864",27942912," ",2338816,13746176,32768,1880064
02/28/2023 17:50:55.225,"17:50:55.225","24.347361462271624788","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","132.01099651600978291","0","0","0","0","0","0"," "," "," "," ","0","132.01099651600978291","0","0","16385.364900896245672","16385.364900896245672","3.1183151637462991346","0","0","0","0.77440343383693432955","63320064","2277376","2306048","4718592","16801792","155648","163840","8192","2555904","19812352","53248","4096","4132864","36864",27942912," ",2338816,13746176,32768,1880064
02/28/2023 17:50:56.225,"17:50:56.225","24.346153793005772314","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","131.99508978266010217","0","0","0","0","0","0"," "," "," "," ","0","131.99508978266010217","0","0","12287.542903403993478","12287.542903403993478","0","0","0","0","0","63320064","2277376","2306048","4718592","16801792","155648","163840","8192","2555904","19812352","53248","4096","4132864","36864",27942912," ",2338816,13746176,32768,1880064
02/28/2023 17:50:57.225,"17:50:57.225","24.346153793005772314","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","132.02453015770331035","0","0","0","0","0","0"," "," "," "," ","0","132.02453015770331035","0","0","24580.567069361488393","24580.567069361488393","0","0","0","0","0","63320064","2277376","2306048","4718592","16797696","155648","163840","8192","2555904","19812352","53248","4096","4132864","36864",27942912," ",2338816,13746176,32768,1880064
02/28/2023 17:50:58.225,"17:50:58.225","24.269819847370921906","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","228.00681740384038676","0","0","0","0","0","0"," "," "," "," ","0","228.00681740384038676","0","0","8192.2449481239491433","8192.2449481239491433","0","0","0","0","0","63320064","2277376","2306048","4718592","16797696","155648","163840","8192","2555904","19812352","53248","4096","4132864","36864",27942912," ",2338816,13746176,32768,1880064
02/28/2023 17:50:59.225,"17:50:59.225","24.26861215482200862","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","228.02378288055442113","0","0","0","0","0","0"," "," "," "," ","0","228.02378288055442113","0","0","16385.709029451769311","16385.709029451769311","0","0","0","0","0","63320064","2277376","2306048","4718592","16797696","155648","163840","8192","2555904","19812352","53248","4096","4132864","36864",27942912," ",2338816,13746176,32768,1880064
02/28/2023 17:51:00.225,"17:51:00.225","24.265946942443481049","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","228.01543664506087339","0","0","0","0","0","0"," "," "," "," ","0","228.01543664506087339","0","0","8192.5546359488544113","8192.5546359488544113","1.5555498218174257374","0","0","0","0.38359708195399022657","63320064","2277376","2306048","4718592","16797696","155648","163840","8192","2555904","19812352","53248","4096","4132864","36864",27942912," ",2338816,13746176,32768,1880064
