,Minimum,Maximum,Mean,Median,Standard Deviation
CPU Utilization [%],0.0,39.658053694439275,1.3890987680438525,1.1849399773386726,1.3950285941237142
RAM [%],43.39257507663979,44.911174859132416,43.97532017237201,43.982715961519325,0.2915799498233884
Total Power [W],31.434088,64.100517,32.319882458025255,32.293296,0.7904571743909293
