,Minimum,Maximum,Mean,Median,Standard Deviation
CPU Utilization [%],0.0,87.88979681802108,5.537308345085059,1.5317426705398816,12.188211962770625
RAM [%],23.27289777418433,45.98651308240055,26.627294711478516,25.46900811732491,4.487503929044021
Total Power [W],31.04226,78.329685,34.45004977926899,31.605135,8.022936841805084
