Zeit,"RAM","\\DJ-TESLA\Auslagerungsdatei(\??\C:\pagefile.sys)\Belegung (%)","Auslagerungsdatei","\\DJ-TESLA\Netzwerkadapter(Microsoft Kernel Debug Network Adapter)\Bytes gesendet/s","NetzwerkGesendet","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IP])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IPv6])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [Network Monitor])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Teredo Tunneling Pseudo-Interface)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Microsoft IP-HTTPS Platform Interface)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(6to4 Adapter)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 1)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 2)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 3)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 4)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Microsoft Kernel Debug Network Adapter)\Empfangene Bytes/s","NetzwerkEmpfangen","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IP])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IPv6])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [Network Monitor])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(Teredo Tunneling Pseudo-Interface)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(Microsoft IP-HTTPS Platform Interface)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(6to4 Adapter)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 1)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 2)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 3)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 4)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkschnittstelle(Intel[R] Ethernet Connection I217-LM)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkschnittstelle(Intel[R] Ethernet Connection I217-LM)\Empfangene Bytes/s","FestplatteGeschrieben","FestplatteGelesen","\\DJ-TESLA\Physikalischer Datentr�ger(0 C:)\Bytes geschrieben/s","\\DJ-TESLA\Physikalischer Datentr�ger(_Total)\Bytes geschrieben/s","\\DJ-TESLA\Prozessor(0)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(1)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(2)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(3)\Prozessorzeit (%)","CPU","\\DJ-TESLA\GPU Process Memory(pid_1064_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_1064_luid_0x00000000_0x00008FE9_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_2916_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4872_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4872_luid_0x00000000_0x00008FE9_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4_luid_0x00000000_0x00008FE9_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4_luid_0x00000000_0x00009030_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_5128_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_5148_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_5796_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_7328_luid_0x00000000_0x00008FE9_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_8176_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_824_luid_0x00000000_0x00008CD0_phys_0)\Total Committed",,,,
03/01/2023 15:02:57.902,"24.370474048045110749","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","134.07919285951101074","0","0","0","0","0","0"," "," "," "," ","0","134.07919285951101074","1784342.1505977495108","1784342.1505977495108","20802.589922445346019","20802.589922445346019","0.0049267413872233767336","7.9410436666739414591","6.3538202816165956222","11.115490436788633133","6.3538202816165956222","65105920","2273280","23588864"," ","6426624","163840","8192","2555904","6598656","32768","2306048","1363968","28049408","13713408",32768,1880064,4132864,36864
03/01/2023 15:02:58.918,"24.369974300351454843","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","129.98247698350058954","0","0","0","0","0","0"," "," "," "," ","0","129.98247698350058954","0","0","12100.186948282238518","12100.186948282238518","0","1.5317135825381855696","4.6088475330838711841","6.14741450835670733","3.0702805578110226037","65105920","2273280","23588864"," ","6426624","163840","8192","2555904","6598656","32768","2306048","1363968","28049408","13713408",32768,1880064,4132864,36864
03/01/2023 15:02:59.902,"24.365976458500597346","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","134.08853622249432647","0","0","0","0","0","0"," "," "," "," ","0","134.08853622249432647","0","0","83216.15823747527611","83216.15823747527611","0.0051806839721835196144","6.3540581008628365112","4.7668387466401789254","9.5284968093081623408","5.1636486642977708073","65105920","2273280","23588864"," ","6426624","163840","8192","2555904","6598656","32768","2306048","1363968","28049408","13713408",32768,1880064,4132864,36864
03/01/2023 15:03:00.918,"24.363019718873086816","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","129.96993460641510865","0","0","0","0","0","0"," "," "," "," ","0","129.96993460641510865","0","0","8066.0129113314587812","8066.0129113314587812","1.5318008464917154399","6.1474976818124194011","0","0","1.9164373260251554854","65105920","2273280","23588864"," ","6426624","163840","8192","2555904","6598656","32768","2306048","1363968","28049408","13713408",32768,1880064,4132864,36864
03/01/2023 15:03:01.902,"24.308090918769149624","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","134.09876638278026917","0","0","0","0","0","0"," "," "," "," ","0","134.09876638278026917","0","0","948216.44069162046071","948216.44069162046071","0.0038296945986115993321","0.0038296945986115993321","3.1783112915954814248","0.0038296945986115993321","0.7974500938478290557","65556480","2273280","23588864"," ","6426624","163840","8192","2555904","6598656","32768","2306048","1363968","28499968","13713408",32768,1880064,4132864,36864
03/01/2023 15:03:02.918,"24.311255902124393913","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","224.50718457454459553","0","0","0","0","0","0"," "," "," "," ","0","224.50718457454459553","32266.015018152094854","32266.015018152094854","38820.049318714241963","38820.049318714241963","0","3.0701660236351790978","3.0701660236351790978","1.5315972303595382087","1.9162443520985839029","65556480","2273280","23588864"," ","6426624","163840","8192","2555904","6598656","32768","2306048","1363968","28499968","13713408",32768,1880064,4132864,36864
03/01/2023 15:03:03.902,"24.244791647476329643","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","329.15466073348454756","0","0","0","0","0","0"," "," "," "," ","0","329.15466073348454756","0","0","16644.660374868552026","16644.660374868552026","1.5805628240602831447","0","1.5805628240602831447","0","0.78685768554463964009","65556480","2273280","23588864"," ","6426624","163840","8192","2555904","6598656","32768","2306048","1363968","28499968","13713408",32768,1880064,4132864,36864
03/01/2023 15:03:04.918,"24.244250269663577768","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","129.98103064716374888","0","0","0","0","0","0"," "," "," "," ","0","129.98103064716374888","0","0","145200.62769021347049","145200.62769021347049","0","0","0","0","0","65556480","2273280","23588864"," ","6426624","163840","8192","2555904","6598656","32768","2306048","1363968","28499968","13713408",32768,1880064,4132864,36864
03/01/2023 15:03:05.902,"24.243375734482746964","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","134.10612325510916776","0","0","0","0","0","0"," "," "," "," ","0","134.10612325510916776","0","0","8322.707285650410995","8322.707285650410995","0","0","0","0","0","65556480","2273280","23588864"," ","6426624","163840","8192","2555904","6598656","32768","2306048","1363968","28499968","13713408",32768,1880064,4132864,36864
03/01/2023 15:03:06.917,"24.243125883918985153","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","129.98521615113580197","0","0","0","0","0","0"," "," "," "," ","0","129.98521615113580197","0","0","8066.9612932583668226","8066.9612932583668226","1.529308914965243904","0","0","0","0.37535058027793333224","65556480","2273280","23588864"," ","6426624","163840","8192","2555904","6598656","32768","2306048","1363968","28499968","13713408",32768,1880064,4132864,36864
