,Minimum,Maximum,Mean,Median,Standard Deviation
CPU Utilization [%],0.0,44.99646401915476,2.423815914816849,1.1837655303253092,5.055055592687771
RAM [%],25.05781264627767,50.131408462797154,25.953132946495877,25.3239611455528,3.401551491347291
Total Power [W],31.004736,69.16608,32.70464345883362,31.79178,4.452747476792004
