"(PDH-CSV 4.0) (Mitteleurop�ische Zeit)(-60)","RAM","\\DJ-TESLA\Auslagerungsdatei(\??\C:\pagefile.sys)\Belegung (%)","\\DJ-TESLA\Auslagerungsdatei(_Total)\Belegung (%)","\\DJ-TESLA\Netzwerkadapter(Microsoft Kernel Debug Network Adapter)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Intel[R] Ethernet Connection I217-LM)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IP])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IPv6])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [Network Monitor])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Teredo Tunneling Pseudo-Interface)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Microsoft IP-HTTPS Platform Interface)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(6to4 Adapter)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 1)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 2)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 3)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 4)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Microsoft Kernel Debug Network Adapter)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(Intel[R] Ethernet Connection I217-LM)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IP])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IPv6])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [Network Monitor])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(Teredo Tunneling Pseudo-Interface)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(Microsoft IP-HTTPS Platform Interface)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(6to4 Adapter)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 1)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 2)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 3)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 4)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkschnittstelle(Intel[R] Ethernet Connection I217-LM)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkschnittstelle(Intel[R] Ethernet Connection I217-LM)\Empfangene Bytes/s","\\DJ-TESLA\Physikalischer Datentr�ger(0 C:)\Bytes gelesen/s","\\DJ-TESLA\Physikalischer Datentr�ger(_Total)\Bytes gelesen/s","\\DJ-TESLA\Physikalischer Datentr�ger(0 C:)\Bytes geschrieben/s","\\DJ-TESLA\Physikalischer Datentr�ger(_Total)\Bytes geschrieben/s","\\DJ-TESLA\Prozessor(0)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(1)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(2)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(3)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(_Total)\Prozessorzeit (%)"
"03/14/2023 14:49:28.131","18.541859350759036573","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","134.10403872599536612","0","0","0","0","0","0"," "," "," "," ","0","134.10403872599536612","0","0","12483.866877765387471","12483.866877765387471","0","0","0","1.580682810110001224","0.39012147407399000443"
"03/14/2023 14:49:29.144","18.541193036022875162","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","1899.4085474766743573","0","0","0","0","0","0"," "," "," "," ","0","1899.4085474766743573","0","0","12130.941908208613313","12130.941908208613313","1.277986086711691005","4.3630490215019523959","1.277986086711691005","2.8205175541068161493","2.4348896233587380422"
"03/14/2023 14:49:30.134","18.541193036022875162","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","1361.0850634747268941","0","0","0","0","0","0"," "," "," "," ","0","1361.0850634747268941","0","0","8271.5199109680725087","8271.5199109680725087","2.1839410415787186004","0","0","0","0"
"03/14/2023 14:49:31.118","18.541193036022875162","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","979.37998744686819919","0","0","0","0","0","0"," "," "," "," ","0","979.37998744686819919","0","0","12484.046976916095446","12484.046976916095446","0","0","1.5806528136249942129","3.1680616392116944802","1.1837955275200817695"
"03/14/2023 14:49:32.119","18.540859878654792681","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","131.84181618893651944","0","0","0","0","0","0"," "," "," "," ","0","131.84181618893651944","0","0","8182.1830168164242423","8182.1830168164242423","0.11150552638090616142","0.11150552638090616142","0","0","0"
"03/14/2023 14:49:33.129","18.540859878654792681","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","1906.0488320992890294","0","0","0","0","0","0"," "," "," "," ","0","1906.0488320992890294","0","0","8115.567584489280307","8115.567584489280307","0.93387653270152748419","0.93387653270152748419","0.93387653270152748419","2.4817847118780655968","1.3208585308018383486"
"03/14/2023 14:49:34.136","18.539152461695287855","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","2164.552454950003721","0","0","0","0","0","0"," "," "," "," ","0","2164.552454950003721","0","0","52870.683083109084691","52870.683083109084691","0.71422217138790156099","0","0","0.71422217138790156099","0"
"03/14/2023 14:49:35.120","18.538652737284696315","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","134.10647749525674044","0","0","0","0","0","0"," "," "," "," ","0","134.10647749525674044","0","0","8322.7292700086600234","8322.7292700086600234","0","0","7.9302787622253401167","3.1680518016507841494","2.7711944752274786374"
"03/14/2023 14:49:36.122","18.538402863437870138","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","131.74229888914297248","0","0","0","0","0","0"," "," "," "," ","0","131.74229888914297248","0","0","12264.010369316580181","12264.010369316580181","1.7542658484903328464","0.19480975084732454761","0.19480975084732454761","1.7542658484903328464","0.97453779966882869701"
"03/14/2023 14:49:37.124","18.536362312393347196","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","131.74262760271534489","0","0","0","0","0","0"," "," "," "," ","0","131.74262760271534489","0","0","8176.0273130412424507","8176.0273130412424507","0","0.19416227670689956142","0.19416227670689956142","0.19416227670689956142","0"
"03/14/2023 14:49:38.140","18.548730648716148295","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","129.97478489173101934","0","0","0","0","0","0"," "," "," "," ","0","129.97478489173101934","0","0","8066.3139229777307264","8066.3139229777307264","0","0","0","3.0702996468140231201","0.76244963840482737893"
"03/14/2023 14:49:39.124","18.548439144750229701","0","0","0","130.04292229203900888","0","0","0","0","0","0"," "," "," "," ","0","289.54869416586814168","0","0","0","0","0","0"," "," "," "," ","130.04292229203900888","289.54869416586814168","0","0","47335.623714302200824","47335.623714302200824","1.5806528136249942129","0","0","1.5806528136249942129","0.78694840083165518152"
"03/14/2023 14:49:40.140","18.548439144750229701","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","129.98067226791459916","0","0","0","0","0","0"," "," "," "," ","0","129.98067226791459916","0","0","16133.35859422358044","16133.35859422358044","3.0703855472344443456","0","0","4.6089508560085086231","1.9164566422449125227"
"03/14/2023 14:49:41.124","18.546023782935463942","0","0","0","3771.1658205587459634","0","0","0","0","0","0"," "," "," "," ","0","4641.825601867702062","0","0","0","0","0","0"," "," "," "," ","3771.1658205587459634","4641.825601867702062","0","0","8322.5728453710253234","8322.5728453710253234","0","0","0","1.5806128182832224205","0.39006079498888901469"
"03/14/2023 14:49:42.139","18.544982657429059714","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","129.97813807104958528","0","0","0","0","0","0"," "," "," "," ","0","129.97813807104958528","0","0","8066.5220233184718381","8066.5220233184718381","3.070366458265283427","1.5318008464917154399","0","0","1.1471545201383714918"
"03/14/2023 14:49:43.124","18.542067571203705967","0","0","0","260.08019003734386843","0","0","0","0","0","0"," "," "," "," ","0","134.10384798800544104","0","0","0","0","0","0"," "," "," "," ","260.08019003734386843","134.10384798800544104","0","0","8322.5660811950037896","8322.5660811950037896","1.5806928089342697774","3.1681009894353295842","0","1.5806928089342697774","1.5806928089342697774"
"03/14/2023 14:49:44.139","18.539777123029292483","0","0","0","315.0969031291683109","0","0","0","0","0","0"," "," "," "," ","0","445.07437566995020006","0","0","0","0","0","0"," "," "," "," ","315.0969031291683109","445.07437566995020006","0","0","60498.605400800312054","60498.605400800312054","6.1473960253465298464","1.5316941905275105462","0","0","1.916340933511051503"
"03/14/2023 14:49:45.124","18.539527272465527119","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","134.10545565376409627","0","0","0","0","0","0"," "," "," "," ","0","134.10545565376409627","0","0","8322.665853906330085","8322.665853906330085","1.5806628124553578907","0","0","6.3428888054010705844","1.9775098988264461219"
"03/14/2023 14:49:46.139","18.538944241250618461","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","129.97281401973418724","0","0","0","0","0","0"," "," "," "," ","0","129.97281401973418724","0","0","8066.1916094671405517","8066.1916094671405517","1.5318687183486501269","1.5318687183486501269","0","1.5318687183486501269","1.1472325039362685217"
"03/14/2023 14:49:47.131","18.538402863437870138","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","133.12266335688764229","0","0","0","0","0","0"," "," "," "," ","0","133.12266335688764229","0","0","8261.6731683304806211","8261.6731683304806211","0.72879060211372692635","2.3045240846198633555","0.72879060211372692635","2.3045240846198633555","1.5166573433668006921"
"03/14/2023 14:49:48.146","18.538153012874104775","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","129.97873961388634712","0","0","0","0","0","0"," "," "," "," ","0","129.97873961388634712","0","0","8066.5593554314918947","8066.5593554314918947","0","0","1.531665102497170583","1.531665102497170583","0.76238123611042096783"
"03/14/2023 14:49:49.131","18.522827913640725228","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","134.10466544035401171","0","0","0","0","0","0"," "," "," "," ","0","134.10466544035401171","0","0","16645.233625566364935","16645.233625566364935","3.1679337507639848681","1.5805228286453698594","0","0","1.1836650184007591058"
"03/14/2023 14:49:50.133","18.583878413444356426","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","131.72773195083084374","0","0","0","0","0","0"," "," "," "," ","0","131.72773195083084374","2644645.781633940991","2644645.781633940991","8175.1028798576226109","8175.1028798576226109","8.006762120430288121","1.7699324336797994661","8.006762120430288121","6.4475546987426639589","6.0577578327845049699"
"03/14/2023 14:49:51.119","18.552062199113905194","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","133.78108104437620796","0","0","0","0","0","0"," "," "," "," ","0","133.78108104437620796","0","0","12453.802453585565672","12453.802453585565672","1.8125380143844793679","1.8125380143844793679","1.8125380143844793679","6.5635442394949006228","3.0002845029221125728"
