,Minimum,Maximum,Mean,Median,Standard Deviation
CPU Utilization [%],0.0,26.587732434729727,2.256031474619373,1.9990062263671395,2.0037990856985286
RAM [%],45.71826556830626,46.723214408085504,45.95782503826512,45.917604245691926,0.19487991215096587
Total Power [W],31.65552,56.910945,32.51493859919954,32.487,0.8002145238383477
