"Zeit","RAM","\\DJ-TESLA\Auslagerungsdatei(\??\C:\pagefile.sys)\Belegung (%)","Auslagerungsdatei","\\DJ-TESLA\Netzwerkadapter(Microsoft Kernel Debug Network Adapter)\Bytes gesendet/s","NetzwerkGesendet","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IP])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IPv6])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [Network Monitor])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Teredo Tunneling Pseudo-Interface)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Microsoft IP-HTTPS Platform Interface)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(6to4 Adapter)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 1)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 2)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 3)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 4)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Microsoft Kernel Debug Network Adapter)\Empfangene Bytes/s","NetzwerkEmpfangen","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IP])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IPv6])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [Network Monitor])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(Teredo Tunneling Pseudo-Interface)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(Microsoft IP-HTTPS Platform Interface)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(6to4 Adapter)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 1)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 2)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 3)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 4)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkschnittstelle(Intel[R] Ethernet Connection I217-LM)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkschnittstelle(Intel[R] Ethernet Connection I217-LM)\Empfangene Bytes/s","FestplatteGeschrieben","FestplatteGelesen","\\DJ-TESLA\Physikalischer Datentr�ger(0 C:)\Bytes geschrieben/s","\\DJ-TESLA\Physikalischer Datentr�ger(_Total)\Bytes geschrieben/s","\\DJ-TESLA\Prozessor(0)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(1)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(2)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(3)\Prozessorzeit (%)","CPU","\\DJ-TESLA\GPU Process Memory(pid_1064_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_1064_luid_0x00000000_0x00008FE9_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_2916_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4872_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4872_luid_0x00000000_0x00008FE9_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4_luid_0x00000000_0x00008FE9_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4_luid_0x00000000_0x00009030_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_5128_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_5148_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_5796_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_7328_luid_0x00000000_0x00008FE9_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_8176_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_824_luid_0x00000000_0x00008CD0_phys_0)\Total Committed"
"01/09/2023 20:09:06.042","47.375313646014625135","0","5.75537109375"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"01/09/2023 20:09:20.056","47.02608837909672701","0","5.75537109375","0","220.7691858162291112","0","0","0","0","0","0"," "," "," "," ","0","131.86213813458030586","0","0","0","0","0","0"," "," "," "," ","220.7691858162291112","131.86213813458030586","0","0","45008.943149936741975","45008.943149936741975","0","1.6659179540876811743","1.6659179540876811743","3.2267763992608999857","1.2756983480473604864"
"01/09/2023 20:09:21.051","47.025202435214353613","0","5.75537109375","0","0","0","0","0","0","0","0"," "," "," "," ","0","380.97692737383556505","0","0","0","0","0","0"," "," "," "," ","0","380.97692737383556505","0","0","16469.461683622484998","16469.461683622484998","7.3283462119497100318","10.469758204764978871","5.7576402155420813855","2.6162282227268129908","6.5429932137458957087"
"01/09/2023 20:09:22.054","47.007845888614617991","0","5.75537109375","0","0","0","0","0","0","0","0"," "," "," "," ","0","131.57658654449980418","0","0","0","0","0","0"," "," "," "," ","0","131.57658654449980418","0","0","461873.69046408659779","461873.69046408659779","4.9962053303993947395","1.8813268166420038519","4.9962053303993947395","1.8813268166420038519","3.4387660735207048468"
"01/09/2023 20:09:23.048","47.005671273685450728","0","5.75537109375","0","0","0","0","0","0","0","0"," "," "," "," ","0","716.42535944529356584","0","0","0","0","0","0"," "," "," "," ","0","716.42535944529356584","0","0","8242.9164951907932846","8242.9164951907932846","0.95042313979234460675","4.0948541512275120624","2.5226386455099336636","0.95042313979234460675","2.1295898001701507596"
"01/09/2023 20:09:24.064","46.998664212179988908","0","5.75537109375","0","0","0","0","0","0","0","0"," "," "," "," ","0","129.90716951763695874","0","0","0","0","0","0"," "," "," "," ","0","129.90716951763695874","0","0","12093.176507823660359","12093.176507823660359","0.041789298475192193649","12.344338307893632845","1.5796079246524930007","7.7308824293617188772","5.4241544900957556763"
"01/09/2023 20:09:25.062","47.082708623978007267","0","5.75537109375","0","0","0","0","0","0","0","0"," "," "," "," ","0","132.23166988563963287","0","0","0","0","0","0"," "," "," "," ","0","132.23166988563963287","475969.89926350966562","475969.89926350966562","45135.076654298332869","45135.076654298332869","15.487574344641819479","20.182709103272834739","9.227394666467137796","2.9672149882924658826","11.966218267524819652"
"01/09/2023 20:09:26.060","46.743550977377118727","0","5.75537109375","0","0","0","0","0","0","0","0"," "," "," "," ","0","132.31264154069651795","0","0","0","0","0","0"," "," "," "," ","0","132.31264154069651795","28739.909532233712525","28739.909532233712525","16422.805446990692872","16422.805446990692872","63.976826085479096662","29.5198771237634503","20.122527406931911997","18.556302454126651469","33.043888279495128302"
"01/09/2023 20:09:27.052","46.827192685293780983","0","5.75537109375","0","0","0","0","0","0","0","0"," "," "," "," ","0","133.06131031722119928","0","0","0","0","0","0"," "," "," "," ","0","133.06131031722119928","198188.7734761229076","198188.7734761229076","144512.6473263396183","144512.6473263396183","38.573879784130852499","3.9232478674867121704","11.798391484905835114","25.973649996260249395","20.067287243103994143"
"01/09/2023 20:09:28.047","46.838629489494174152","0","5.75537109375","0","128.64427626438731522","0","0","0","0","0","0"," "," "," "," ","0","2962.8384877141702418","0","0","0","0","0","0"," "," "," "," ","128.64427626438731522","2962.8384877141702418","0","0","24699.701042762364523","24699.701042762364523","46.607052833941850167","8.9179136579008115859","24.621721647917915732","5.7771520598973840066","21.480960049914486376"
"01/09/2023 20:09:29.059","47.351433277910444986","0","5.75537109375","0","505.86991890964480945","0","0","0","0","0","0"," "," "," "," ","0","3404.7416807863983195","0","0","0","0","0","0"," "," "," "," ","505.86991890964480945","3404.7416807863983195","18211.317080747212458","18211.317080747212458","12140.878053831474972","12140.878053831474972","67.57994476857638233","15.090331536747669361","5.8274586134837829121","13.546519382870359394","25.511068515618440244"
"01/09/2023 20:09:30.059","47.445786918384442288","0","5.75537109375","0","0","0","0","0","0","0","0"," "," "," "," ","0","131.91077555141703215","0","0","0","0","0","0"," "," "," "," ","0","131.91077555141703215","929163.51379926630761","929163.51379926630761","45025.544721550344548","45025.544721550344548","37.53981836579180964","4.74822300783250828","7.8712320895429126466","51.59335923348864128","25.438153177349441592"
"01/09/2023 20:09:31.056","47.440028248224415108","0","5.755126953125","0","256.93658524051875247","0","0","0","0","0","0"," "," "," "," ","0","260.95121938490183311","0","0","0","0","0","0"," "," "," "," ","256.93658524051875247","260.95121938490183311","0","0","90441.678004662593594","90441.678004662593594","37.270466363470575288","20.019844613424986335","21.588082954338215558","41.975181386210280721","30.213393829361013587"
"01/09/2023 20:09:32.047","47.331177244738483978","0","5.755126953125","0","0","0","0","0","0","0","0"," "," "," "," ","0","133.14776032354097879","0","0","0","0","0","0"," "," "," "," ","0","133.14776032354097879","0","0","20658.076753228175221","20658.076753228175221","73.20848884177057414","5.441725323896129396","2.2897828346926663023","25.929351503718635286","26.71733712601950117"
