,Minimum,Maximum,Mean,Median,Standard Deviation
CPU Utilization [%],0.0,97.22202467767166,14.318157195929627,24.9936426353372,12.202293670582081
RAM [%],23.10436342915156,50.7482849645308,35.23358523216143,43.33373171820624,9.624123633456536
Total Power [W],31.16335,78.217034,43.38453723859429,51.919056,10.282775393807047
