,Delta DT %,Delta LogReg %,Delta SVM %,Delta MLP % 
CPU Utilization [%],3.21,7.44,930.75,145.44
RAM Utilization[%],46.55,43.53,19.88,42.06
Electric Power [W],0.33,0.58,34.23,5.95
Electric Work,0.33,0.58,34.23,5.95
